time,azimuth,elevation
2024-12-12 11:59:19.006898+00,180.97,27.4
2024-12-12 12:03:19.008919+00,182.01,27.38
2024-12-12 12:07:19.010382+00,183.04,27.35
2024-12-12 12:11:19.011838+00,184.07,27.3
2024-12-12 12:15:19.013535+00,185.11,27.24
2024-12-12 12:19:19.015918+00,186.14,27.16
2024-12-12 12:23:19.015985+00,187.16,27.07
2024-12-12 12:27:19.017954+00,188.19,26.97
2024-12-12 12:31:19.018532+00,189.21,26.85
2024-12-12 12:35:19.019671+00,190.23,26.72
2024-12-12 12:39:19.020759+00,191.24,26.58
2024-12-12 12:43:19.022896+00,192.26,26.42
2024-12-12 12:47:19.024104+00,193.26,26.25
2024-12-12 12:51:19.025559+00,194.27,26.07
2024-12-12 12:55:19.026387+00,195.27,25.87
2024-12-12 12:59:19.028349+00,196.26,25.66
2024-12-12 13:03:19.029932+00,197.25,25.44
2024-12-12 13:07:19.031283+00,198.23,25.21
2024-12-12 13:11:19.032275+00,199.21,24.96
2024-12-12 13:15:19.034081+00,200.18,24.7
2024-12-12 13:19:19.035941+00,201.14,24.43
2024-12-12 13:23:19.036656+00,202.1,24.14
2024-12-12 13:27:19.038504+00,203.06,23.85
2024-12-12 13:31:19.040058+00,204.0,23.54
2024-12-12 13:35:19.041148+00,204.94,23.22
2024-12-12 13:39:19.042512+00,205.87,22.89
2024-12-12 13:43:19.044761+00,206.8,22.55
2024-12-12 13:47:19.046195+00,207.71,22.19
2024-12-12 13:51:19.049347+00,208.62,21.83
2024-12-12 13:55:19.051162+00,209.53,21.46
2024-12-12 13:59:19.053633+00,210.42,21.07
2024-12-12 14:03:19.054838+00,211.31,20.68
2024-12-12 14:07:19.057048+00,212.19,20.27
2024-12-12 14:11:19.058157+00,213.06,19.86
2024-12-12 14:15:19.059638+00,213.93,19.43
2024-12-12 14:19:19.061205+00,214.78,19.0
2024-12-12 14:23:19.062387+00,215.63,18.55
2024-12-12 14:27:19.065166+00,216.47,18.1
2024-12-12 14:31:19.066182+00,217.31,17.64
2024-12-12 14:35:19.067073+00,218.13,17.17
2024-12-12 14:39:19.068429+00,218.95,16.69
2024-12-12 14:43:19.069922+00,219.76,16.2
2024-12-12 14:47:19.07155+00,220.57,15.7
2024-12-12 14:51:19.072518+00,221.36,15.2
2024-12-12 14:55:19.075162+00,222.15,14.69
2024-12-12 14:59:19.076966+00,222.93,14.17
2024-12-12 15:03:19.080774+00,223.71,13.64
2024-12-12 15:07:19.08173+00,224.47,13.11
2024-12-12 15:11:19.083773+00,225.23,12.57
2024-12-12 15:15:19.084209+00,225.99,12.02
2024-12-12 15:19:19.085646+00,226.73,11.46
2024-12-12 15:23:19.086994+00,227.47,10.9
2024-12-12 15:27:19.087782+00,228.2,10.33
2024-12-12 15:29:38.867713+00,228.62,10.0
2024-12-12 15:31:38.869945+00,228.99,9.72
2024-12-12 15:33:38.872303+00,229.35,9.43
2024-12-12 15:35:38.87247+00,229.7,9.14
2024-12-12 15:37:38.874628+00,230.06,8.84
2024-12-12 15:39:38.876401+00,230.42,8.55
2024-12-12 15:41:38.878432+00,230.77,8.25
2024-12-12 15:43:38.880518+00,231.12,7.96
2024-12-12 15:45:38.881917+00,231.47,7.66
2024-12-12 15:47:38.882998+00,231.82,7.36
2024-12-12 15:49:38.88495+00,232.17,7.06
2024-12-12 15:51:38.886355+00,232.51,6.76
2024-12-12 15:53:38.888041+00,232.86,6.46
2024-12-12 15:55:38.889573+00,233.2,6.16
2024-12-12 15:57:38.890964+00,233.54,5.86
2024-12-12 15:59:38.891898+00,233.88,5.55
2024-12-12 16:01:38.89345+00,234.22,5.25
2024-12-12 16:03:38.894559+00,234.56,4.94
2024-12-12 16:05:38.895885+00,234.89,4.63
2024-12-12 16:07:38.897742+00,235.23,4.33
2024-12-12 16:09:38.898307+00,235.56,4.02
2024-12-12 16:11:38.899581+00,235.89,3.71
2024-12-12 16:13:38.900642+00,236.22,3.41
2024-12-12 16:15:38.901788+00,236.55,3.1
2024-12-12 16:17:38.902554+00,236.88,2.79
2024-12-12 16:19:38.903913+00,237.21,2.49
2024-12-12 16:21:38.904532+00,237.53,2.18
2024-12-12 16:23:38.906707+00,237.86,1.88
2024-12-12 16:25:38.907691+00,238.18,1.58
2024-12-12 16:27:38.908764+00,238.5,1.28
2024-12-12 16:29:38.909482+00,238.82,0.99
2024-12-12 16:31:38.910293+00,239.14,0.7
2024-12-12 16:33:38.910804+00,239.46,0.41
2024-12-12 16:35:38.912678+00,239.78,0.13
2024-12-12 16:37:53.263679+00,240.13,-0.37
2024-12-12 16:41:53.266235+00,240.76,-1.23
2024-12-12 16:45:53.267468+00,241.38,-1.98
2024-12-12 16:49:53.268704+00,242.0,-2.7
2024-12-12 16:53:53.271308+00,242.62,-3.4
2024-12-12 16:57:53.272252+00,243.23,-4.11
2024-12-12 17:01:53.27282+00,243.84,-4.81
2024-12-12 17:05:53.274649+00,244.44,-5.51
2024-12-12 17:08:40.074136+00,244.86,-6.0
2024-12-12 17:16:40.077144+00,246.06,-7.41
2024-12-12 17:24:40.079174+00,247.24,-8.84
2024-12-12 17:32:40.080881+00,248.42,-10.27
2024-12-12 17:42:13.612691+00,249.8,-12.0
2024-12-12 17:50:13.614+00,250.96,-13.45
2024-12-12 17:58:13.615894+00,252.1,-14.92
2024-12-12 18:06:13.616811+00,253.25,-16.4
2024-12-12 18:14:51.793862+00,254.48,-18.0
2024-12-12 18:34:51.797865+00,257.31,-21.74
2024-12-12 18:54:51.800158+00,260.16,-25.53
2024-12-12 19:14:51.80066+00,263.05,-29.35
2024-12-12 19:34:51.80367+00,266.01,-33.19
2024-12-12 19:54:51.804913+00,269.07,-37.04
2024-12-12 20:14:51.805605+00,272.28,-40.9
2024-12-12 20:34:51.80793+00,275.71,-44.75
2024-12-12 20:54:51.809214+00,279.43,-48.57
2024-12-12 21:14:51.809848+00,283.54,-52.35
2024-12-12 21:34:51.811314+00,288.18,-56.07
2024-12-12 21:54:51.812962+00,293.55,-59.67
2024-12-12 22:14:51.813837+00,299.91,-63.12
2024-12-12 22:34:51.814744+00,307.63,-66.33
2024-12-12 22:54:51.816171+00,317.18,-69.18
2024-12-12 23:14:51.819208+00,329.0,-71.51
2024-12-12 23:34:51.820616+00,343.25,-73.08
2024-12-12 23:56:03.003667+00,0.21,-73.67
2024-12-13 00:16:03.005342+00,16.22,-73.12
2024-12-13 00:36:03.0074+00,30.55,-71.58
2024-12-13 00:56:03.008904+00,42.46,-69.28
2024-12-13 01:16:03.011523+00,52.08,-66.44
2024-12-13 01:36:03.013373+00,59.86,-63.24
2024-12-13 01:56:03.013927+00,66.26,-59.8
2024-12-13 02:16:03.015077+00,71.66,-56.2
2024-12-13 02:36:03.017962+00,76.33,-52.49
2024-12-13 02:56:03.019428+00,80.45,-48.71
2024-12-13 03:16:03.021126+00,84.18,-44.89
2024-12-13 03:36:03.023236+00,87.62,-41.04
2024-12-13 03:56:03.024858+00,90.84,-37.19
2024-12-13 04:16:03.026332+00,93.91,-33.33
2024-12-13 04:36:03.028649+00,96.87,-29.49
2024-12-13 04:56:03.029462+00,99.76,-25.68
2024-12-13 05:16:03.030922+00,102.61,-21.89
2024-12-13 05:36:49.858001+00,105.56,-18.0
2024-12-13 05:44:49.860226+00,106.7,-16.52
2024-12-13 05:52:49.863997+00,107.84,-15.04
2024-12-13 06:00:49.862823+00,108.99,-13.58
2024-12-13 06:09:29.096708+00,110.24,-12.0
2024-12-13 06:17:29.099423+00,111.4,-10.55
2024-12-13 06:25:29.100507+00,112.57,-9.12
2024-12-13 06:33:29.102464+00,113.75,-7.69
2024-12-13 06:43:03.97116+00,115.18,-6.0
2024-12-13 06:47:03.973653+00,115.79,-5.3
2024-12-13 06:51:03.975702+00,116.39,-4.6
2024-12-13 06:55:03.975626+00,117.0,-3.9
2024-12-13 06:59:03.976944+00,117.61,-3.19
