time,azimuth_mean,elevation_mean
2024-12-16 11:00:00,168.9875,26.36125
2024-12-16 11:30:00,176.67285714285714,27.091428571428573
2024-12-16 12:00:00,184.57,27.021250000000002
2024-12-16 12:30:00,192.2057142857143,26.184285714285714
2024-12-16 13:00:00,199.61124999999998,24.5925
2024-12-16 13:30:00,206.69428571428574,22.32857142857143
2024-12-16 14:00:00,213.37125,19.4325
2024-12-16 14:30:00,219.63285714285715,16.007142857142856
2024-12-16 15:00:00,225.465,12.10875
2024-12-16 15:30:00,230.76933333333332,7.958666666666667
2024-12-16 16:00:00,235.87800000000001,3.44
2024-12-16 16:30:00,240.36454545454546,-1.0527272727272727
2024-12-16 17:00:00,245.00799999999998,-6.506
2024-12-16 17:30:00,250.0475,-12.657499999999999
2024-12-16 18:00:00,253.59,-17.195
2024-12-16 18:30:00,258.46000000000004,-23.63
2024-12-16 19:00:00,262.76,-29.33
2024-12-16 19:30:00,267.225,-35.1
2024-12-16 20:00:00,271.95,-40.88
2024-12-16 20:30:00,277.20500000000004,-46.644999999999996
2024-12-16 21:00:00,283.13,-52.35
2024-12-16 21:30:00,290.39,-57.875
2024-12-16 22:00:00,299.36,-63.15
2024-12-16 22:30:00,311.76,-67.82
2024-12-16 23:00:00,328.3,-71.62
2024-12-16 23:30:00,171.395,-73.55000000000001
2024-12-17 00:00:00,16.39,-73.31
2024-12-17 00:30:00,36.8,-70.6
2024-12-17 01:00:00,52.41,-66.59
2024-12-17 01:30:00,63.375,-61.65
2024-12-17 02:00:00,71.95,-56.32
2024-12-17 02:30:00,78.64500000000001,-50.71
2024-12-17 03:00:00,84.42,-45.0
2024-12-17 03:30:00,89.445,-39.22
2024-12-17 04:00:00,94.11,-33.44
2024-12-17 04:30:00,98.5,-27.69
2024-12-17 05:00:00,102.78,-22.0
2024-12-17 05:30:00,106.95,-16.523333333333333
2024-12-17 06:00:00,111.0475,-11.3175
2024-12-17 06:30:00,115.876,-5.5
2024-12-17 07:00:00,120.28636363636365,-0.36090909090909096
2024-12-17 07:30:00,124.72466666666666,3.964
2024-12-17 08:00:00,129.86266666666668,8.454666666666666
2024-12-17 08:30:00,135.47714285714287,12.76
2024-12-17 09:00:00,141.385,16.576249999999998
2024-12-17 09:30:00,147.7057142857143,19.927142857142858
2024-12-17 10:00:00,154.4575,22.7125
2024-12-17 10:30:00,161.5885714285714,24.88
2024-12-17 11:00:00,169.04250000000002,26.3375
2024-12-17 11:30:00,176.71714285714285,27.06142857142857
2024-12-17 12:00:00,184.56625,26.98625
2024-12-17 12:30:00,192.1985714285714,26.154285714285713
2024-12-17 13:00:00,199.60125,24.56
2024-12-17 13:30:00,206.68,22.298571428571428
2024-12-17 14:00:00,213.3675,19.3975
2024-12-17 14:30:00,219.6242857142857,15.97
2024-12-17 15:00:00,225.08285714285714,12.348571428571429
2024-12-17 15:30:00,230.71666666666667,7.958666666666667
2024-12-17 16:00:00,235.8273333333333,3.4433333333333334
2024-12-17 16:30:00,240.32,-1.0509090909090908
2024-12-17 17:00:00,244.964,-6.506
2024-12-17 17:30:00,250.005,-12.657499999999999
2024-12-17 18:00:00,253.54500000000002,-17.195
2024-12-17 18:30:00,258.41999999999996,-23.63
2024-12-17 19:00:00,262.71,-29.33
2024-12-17 19:30:00,267.18,-35.095
2024-12-17 20:00:00,271.9,-40.88
2024-12-17 20:30:00,277.145,-46.644999999999996
2024-12-17 21:00:00,283.06,-52.35
2024-12-17 21:30:00,290.31500000000005,-57.875
2024-12-17 22:00:00,299.27,-63.15
2024-12-17 22:30:00,311.65999999999997,-67.82499999999999
2024-12-17 23:00:00,328.18,-71.64
2024-12-17 23:30:00,171.34,-73.58000000000001
2024-12-18 00:00:00,16.41,-73.34
2024-12-18 00:30:00,36.845,-70.62
2024-12-18 01:00:00,52.46,-66.61
2024-12-18 01:30:00,63.42,-61.675
2024-12-18 02:00:00,71.99,-56.34
2024-12-18 02:30:00,78.685,-50.730000000000004
2024-12-18 03:00:00,84.45,-45.01
2024-12-18 03:30:00,89.475,-39.24
2024-12-18 04:00:00,94.14,-33.46
2024-12-18 04:30:00,98.53,-27.71
2024-12-18 05:00:00,102.81,-22.02
2024-12-18 05:30:00,106.98333333333333,-16.523333333333333
2024-12-18 06:00:00,111.0825,-11.315
2024-12-18 06:30:00,115.91400000000002,-5.5
2024-12-18 07:00:00,120.32272727272726,-0.36090909090909096
2024-12-18 07:30:00,124.76333333333334,3.9626666666666663
2024-12-18 08:00:00,129.90066666666667,8.45
2024-12-18 08:30:00,135.52142857142857,12.755714285714287
2024-12-18 09:00:00,141.43,16.56875
2024-12-18 09:30:00,147.75428571428571,19.91857142857143
2024-12-18 10:00:00,154.5025,22.69875
2024-12-18 10:30:00,161.6342857142857,24.864285714285717
2024-12-18 11:00:00,169.08625,26.315
2024-12-18 11:30:00,176.75571428571428,27.034285714285716
2024-12-18 12:00:00,184.04714285714286,26.99857142857143
2024-12-18 12:30:00,191.68625,26.197499999999998
2024-12-18 13:00:00,199.11142857142858,24.672857142857143
2024-12-18 13:30:00,206.2025,22.44
2024-12-18 14:00:00,212.91285714285715,19.59714285714286
2024-12-18 14:30:00,219.1875,16.1975
2024-12-18 15:00:00,225.05285714285714,12.338571428571429
2024-12-18 15:30:00,230.67466666666667,7.96
2024-12-18 16:00:00,235.7866666666667,3.448
2024-12-18 16:30:00,240.2681818181818,-1.0318181818181817
2024-12-18 17:00:00,244.615,-6.133333333333333
2024-12-18 17:30:00,249.37666666666667,-11.903333333333334
2024-12-18 18:00:00,252.92999999999998,-16.436666666666667
2024-12-18 18:30:00,258.38,-23.63
2024-12-18 19:00:00,262.68,-29.33
2024-12-18 19:30:00,267.47,-35.54
2024-12-18 20:00:00,272.255,-41.32
2024-12-18 20:30:00,277.47,-47.09
2024-12-18 21:00:00,283.565,-52.769999999999996
2024-12-18 21:30:00,290.75,-58.31
2024-12-18 22:00:00,300.16499999999996,-63.510000000000005
2024-12-18 22:30:00,312.4,-68.22
2024-12-18 23:00:00,329.91999999999996,-71.78999999999999
2024-12-18 23:30:00,176.19,-73.87
2024-12-19 00:00:00,16.44,-73.37
2024-12-19 00:30:00,36.9,-70.65
2024-12-19 01:00:00,52.52,-66.63
2024-12-19 01:30:00,63.480000000000004,-61.69
2024-12-19 02:00:00,72.04,-56.35
2024-12-19 02:30:00,78.725,-50.745000000000005
2024-12-19 03:00:00,84.49,-45.03
2024-12-19 03:30:00,89.50999999999999,-39.25
2024-12-19 04:00:00,94.17,-33.47
2024-12-19 04:30:00,98.55,-27.72
2024-12-19 05:00:00,102.83,-22.03
2024-12-19 05:30:00,107.01333333333334,-16.523333333333333
2024-12-19 06:00:00,111.11,-11.3175
2024-12-19 06:30:00,115.934,-5.5
2024-12-19 07:00:00,120.34636363636363,-0.36181818181818187
2024-12-19 07:30:00,124.78466666666667,3.9626666666666663
2024-12-19 08:00:00,129.7357142857143,8.297857142857143
2024-12-19 08:30:00,135.16750000000002,12.48375
2024-12-19 09:00:00,141.04142857142855,16.332857142857144
2024-12-19 09:30:00,147.34125,19.705
2024-12-19 10:00:00,154.05428571428573,22.537142857142857
2024-12-19 10:30:00,161.16875,24.72875
2024-12-19 11:00:00,168.5957142857143,26.244285714285716
2024-12-19 11:30:00,176.25125,26.9975
2024-12-19 12:00:00,184.04714285714286,26.99142857142857
2024-12-19 12:30:00,191.68375,26.19125
2024-12-19 13:00:00,199.10857142857142,24.665714285714284
2024-12-19 13:30:00,206.2,22.4325
2024-12-19 14:00:00,212.9042857142857,19.59
2024-12-19 14:30:00,219.17875,16.18875
2024-12-19 15:00:00,225.0442857142857,12.334285714285715
2024-12-19 15:30:00,230.66,7.959333333333333
2024-12-19 16:00:00,235.77,3.4466666666666668
2024-12-19 16:30:00,240.006,-0.743
2024-12-19 17:00:00,244.56833333333336,-6.101666666666667
2024-12-19 17:30:00,249.35666666666665,-11.903333333333334
2024-12-19 18:00:00,252.91,-16.436666666666667
2024-12-19 18:30:00,258.36,-23.63
2024-12-19 19:00:00,262.65,-29.33
2024-12-19 19:30:00,267.11,-35.095
2024-12-19 20:00:00,271.83,-40.88
2024-12-19 20:30:00,277.06500000000005,-46.644999999999996
2024-12-19 21:00:00,282.97,-52.35
2024-12-19 21:30:00,290.21000000000004,-57.879999999999995
2024-12-19 22:00:00,299.15,-63.16
2024-12-19 22:30:00,311.525,-67.85
2024-12-19 23:00:00,328.04,-71.67
2024-12-19 23:30:00,171.28,-73.625
2024-12-20 00:00:00,16.46,-73.39
2024-12-20 00:30:00,36.93,-70.66499999999999
2024-12-20 01:00:00,52.55,-66.64
2024-12-20 01:30:00,63.5,-61.7
2024-12-20 02:00:00,72.06,-56.36
2024-12-20 02:30:00,78.745,-50.75
2024-12-20 03:00:00,84.5,-45.03
2024-12-20 03:30:00,89.525,-39.254999999999995
2024-12-20 04:00:00,94.18,-33.47
2024-12-20 04:30:00,98.565,-27.725
2024-12-20 05:00:00,102.84,-22.03
2024-12-20 05:30:00,107.03000000000002,-16.523333333333333
2024-12-20 06:00:00,111.1275,-11.3175
2024-12-20 06:30:00,115.954,-5.5
2024-12-20 07:00:00,120.181,-0.552
2024-12-20 07:30:00,124.47,3.6546666666666665
2024-12-20 08:00:00,129.57733333333334,8.148666666666667
2024-12-20 08:30:00,135.18625,12.4825
2024-12-20 09:00:00,141.0585714285714,16.33142857142857
2024-12-20 09:30:00,147.35875,19.7
2024-12-20 10:00:00,154.07285714285715,22.52857142857143
2024-12-20 10:30:00,161.18625,24.7225
2024-12-20 11:00:00,168.61285714285714,26.235714285714288
2024-12-20 11:30:00,176.265,26.9875
2024-12-20 12:00:00,184.04999999999998,26.981428571428573
2024-12-20 12:30:00,191.68375,26.18
2024-12-20 13:00:00,199.1042857142857,24.655714285714286
2024-12-20 13:30:00,206.19375,22.4225
2024-12-20 14:00:00,212.90285714285713,19.58142857142857
2024-12-20 14:30:00,219.175,16.181250000000002
2024-12-20 15:00:00,225.04,12.325714285714286
2024-12-20 15:30:00,230.46928571428572,8.108571428571429
2024-12-20 16:00:00,235.42000000000002,3.753333333333333
2024-12-20 16:30:00,239.81181818181815,-0.5536363636363636
2024-12-20 17:00:00,244.55166666666665,-6.101666666666667
2024-12-20 17:30:00,249.34666666666666,-11.903333333333334
2024-12-20 18:00:00,252.89666666666668,-16.436666666666667
2024-12-20 18:30:00,258.35,-23.63
2024-12-20 19:00:00,262.64,-29.33
2024-12-20 19:30:00,267.1,-35.095
2024-12-20 20:00:00,271.81,-40.88
2024-12-20 20:30:00,277.04999999999995,-46.644999999999996
2024-12-20 21:00:00,282.96,-52.35
2024-12-20 21:30:00,290.19,-57.879999999999995
2024-12-20 22:00:00,299.13,-63.16
2024-12-20 22:30:00,311.5,-67.85
2024-12-20 23:00:00,328.01,-71.67
2024-12-20 23:30:00,342.31,-73.3
2024-12-21 00:00:00,8.32,-73.675
2024-12-21 00:30:00,30.93,-71.84
2024-12-21 01:00:00,47.73,-68.08000000000001
2024-12-21 01:30:00,60.31,-63.43
2024-12-21 02:00:00,69.375,-58.175
2024-12-21 02:30:00,76.7,-52.65
2024-12-21 03:00:00,82.655,-46.955
2024-12-21 03:30:00,87.92,-41.19
2024-12-21 04:00:00,92.655,-35.405
2024-12-21 04:30:00,97.13,-29.64
2024-12-21 05:00:00,101.42,-23.93
2024-12-21 05:30:00,107.03666666666668,-16.523333333333333
2024-12-21 06:00:00,110.54,-12.046666666666667
2024-12-21 06:30:00,115.44833333333334,-6.1066666666666665
2024-12-21 07:00:00,120.18900000000001,-0.552
2024-12-21 07:30:00,124.47399999999999,3.655333333333333
2024-12-21 08:00:00,129.58266666666665,8.148666666666667
2024-12-21 08:30:00,135.195,12.4825
2024-12-21 09:00:00,141.06428571428572,16.33142857142857
2024-12-21 09:30:00,147.365,19.7
2024-12-21 10:00:00,154.07714285714286,22.52857142857143
2024-12-21 10:30:00,161.19125,24.72
2024-12-21 11:00:00,168.6157142857143,26.232857142857142
2024-12-21 11:30:00,176.26875,26.9825
2024-12-21 12:00:00,184.0457142857143,26.97714285714286
2024-12-21 12:30:00,191.67874999999998,26.1775
2024-12-21 13:00:00,199.10142857142858,24.654285714285717
2024-12-21 13:30:00,206.19125,22.4225
2024-12-21 14:00:00,212.89857142857142,19.580000000000002
2024-12-21 14:30:00,219.175,16.181250000000002
2024-12-21 15:00:00,225.03571428571428,12.325714285714286
2024-12-21 15:30:00,230.46428571428572,8.110000000000001
2024-12-21 16:00:00,235.41933333333333,3.753333333333333
2024-12-21 16:30:00,239.8109090909091,-0.5536363636363636
2024-12-21 17:00:00,244.55166666666665,-6.101666666666667
2024-12-21 17:30:00,249.34666666666666,-11.903333333333334
2024-12-21 18:00:00,252.89333333333335,-16.433333333333334
2024-12-21 18:30:00,258.35,-23.63
2024-12-21 19:00:00,262.64,-29.33
2024-12-21 19:30:00,267.1,-35.095
2024-12-21 20:00:00,271.81,-40.88
2024-12-21 20:30:00,277.04999999999995,-46.644999999999996
2024-12-21 21:00:00,282.96,-52.35
2024-12-21 21:30:00,290.19500000000005,-57.879999999999995
2024-12-21 22:00:00,299.13,-63.16
2024-12-21 22:30:00,311.5,-67.85
2024-12-21 23:00:00,328.02,-71.67
2024-12-21 23:30:00,342.31,-73.3
2024-12-22 00:00:00,8.32,-73.67
2024-12-22 00:30:00,30.93,-71.83
2024-12-22 01:00:00,47.724999999999994,-68.08000000000001
2024-12-22 01:30:00,60.31,-63.43
2024-12-22 02:00:00,69.375,-58.175
2024-12-22 02:30:00,76.7,-52.65
2024-12-22 03:00:00,82.65,-46.955
2024-12-22 03:30:00,87.92,-41.19
2024-12-22 04:00:00,92.655,-35.405
2024-12-22 04:30:00,97.13,-29.64
2024-12-22 05:00:00,101.42,-23.93
2024-12-22 05:30:00,107.03333333333335,-16.523333333333333
2024-12-22 06:00:00,110.53666666666668,-12.046666666666667
2024-12-22 06:30:00,115.06800000000001,-6.544
2024-12-22 07:00:00,119.92272727272729,-0.8563636363636363
2024-12-22 07:30:00,124.47133333333333,3.656
2024-12-22 08:00:00,129.57866666666666,8.149333333333335
2024-12-22 08:30:00,135.1875,12.4825
2024-12-22 09:00:00,141.06,16.332857142857144
