time,sensor.sensor_temperatura_1_humidity,sensor.sensor_temperatura_1_pressure,sensor.sensor_temperatura_1_temperature,sensor.sensor_temperatura_2_humidity,sensor.sensor_temperatura_2_pressure,sensor.sensor_temperatura_2_temperature,sensor.sensor_temperatura_3_humidity,sensor.sensor_temperatura_3_pressure,sensor.sensor_temperatura_3_temperature,sensor.sensor_temperatura_4_humidity,sensor.sensor_temperatura_4_pressure,sensor.sensor_temperatura_4_temperature, sensor_ventana_2 Puerta,sensor_puerta_1 Puerta,sensor_ventana_1 Puerta,sensor_ventana_11 Puerta,sensor_ventana_12 Puerta,sensor_ventana_3 Puerta,sensor_ventana_4 Puerta,sensor_ventana_5 Puerta,sensor_ventana_6 Puerta,sensor_ventana_7 Puerta,sensor_ventana_8 Puerta,sensor_ventana_9 Puerta,azimuth_mean,elevation_mean
2024-12-12 21:00:00,49.75,1015.4,20.18,49.83,1015.5,19.79,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.54,-52.35
2024-12-12 21:30:00,49.86,1016.03,19.7,49.87,1015.83,19.69,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.86,-57.87
2024-12-12 22:00:00,49.84,1016.3,19.6,49.85,1016.05,19.52,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.91,-63.12
2024-12-12 22:30:00,49.71,1016.45,19.44,49.85,1016.05,19.52,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.4,-67.76
2024-12-12 23:00:00,49.71,1016.45,19.35,49.73,1016.05,19.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,-71.51
2024-12-12 23:30:00,49.62,1016.45,19.17,49.73,1016.05,19.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.73,-73.38
2024-12-13 00:00:00,49.5,1016.45,19.14,49.89,1015.85,18.82,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.22,-73.12
2024-12-13 00:30:00,49.5,1016.45,19.14,49.89,1015.85,18.82,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.51,-70.43
2024-12-13 01:00:00,49.27,1016.45,18.98,50.0,1016.1,18.61,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.08,-66.44
2024-12-13 01:30:00,49.27,1016.45,18.98,49.99,1015.95,18.49,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06,-61.52
2024-12-13 02:00:00,49.06,1016.45,18.86,49.9,1016.05,18.48,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.66,-56.2
2024-12-13 02:30:00,48.83,1016.45,18.74,49.9,1016.05,18.48,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.39,-50.6
2024-12-13 03:00:00,48.83,1016.45,18.74,50.13,1016.1,18.17,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.18,-44.89
2024-12-13 03:30:00,48.42,1016.45,18.65,50.13,1016.1,18.17,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.23,-39.11
2024-12-13 04:00:00,48.39,1016.45,18.63,49.91,1016.1,17.97,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.91,-33.33
2024-12-13 04:30:00,48.16,1016.45,18.52,49.91,1016.1,17.97,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.32,-27.58
2024-12-13 05:00:00,48.16,1016.45,18.52,49.43,1016.35,18.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.61,-21.89
2024-12-13 05:30:00,47.92,1016.6,18.53,49.43,1016.35,18.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.7,-16.52
2024-12-13 06:00:00,47.93,1016.6,18.46,49.1,1016.45,17.99,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.8,-11.31
